article_title,source_title,abstract,journal_abbreviation,publication_date,publication_year,doi,wo_s_categories,ids_number,ut_unique_wos_id
National level organisational responses to climate change adaptation: a case study of Malawi,CLIMATE AND DEVELOPMENT,"Climate change is presenting new and, to a large extent, unpredictable challenges to communities in Malawi and effective adaptation requires a well-coordinated organisational framework. This study looked at the success of organisations and the processes they employed for implementing policies that have implications for climate change adaptation in Malawi. This was done by assessing the linkages between different interest groups, as well as potential conflicts of interest between actors from the national to the local level. One of the major findings was that although national organisational and policy interventions seem to be well linked among various actors, community needs are mostly compromised. There is no effective communication between adaptation strategies which are proposed and the livelihood strategies in communities within the country. Local knowledge is given very little attention in formulating, communicating and implementing policies that have implications for adaptation to climate change. The study highlights inadequate human and financial resources to support climate change adaptation in Malawi. It also exposes the weak links between different stakeholders and the subsequent lack of collective commitment. Results suggest that there is a lot of talk about climate change adaptation strategies but the actual implementation needs improvement.",CLIM DEV,JAN 1,2013,10.1080/17565529.2013.763762,Development Studies; Environmental Studies,121WE,WOS:000317274700008
Impact of ocean acidification on marine ecosystems: educational challenges and innovations,MARINE BIOLOGY,"Population growth and social/technological developments have resulted in the buildup of carbon dioxide (CO2) in the atmosphere and oceans to the extent that we now see changes in the earth's climate and ocean chemistry. Ocean acidification is one consequence of these changes, and it is known with certainty that it will continue to increase as we emit more CO2 into the atmosphere. Ocean acidification is a global issue likely to impact marine organisms, food webs and ecosystems and to be most severely experienced by the people who depend on the goods and services the ocean provides at regional and local levels. However, research is in its infancy and the available data on biological impacts are complex (e.g., species-specific response). Educating future generations on the certainties and uncertainties of the emerging science of ocean acidification and its complex consequences for marine species and ecosystems can provide insights that will help assessing the need to mitigate and/or adapt to future global change. This article aims to present different educational approaches, the different material available and highlight the future challenges of ocean acidification education for both educators and marine biologists.",MAR BIOL,AUG,2013,10.1007/s00227-012-1943-4,Marine & Freshwater Biology,200KB,WOS:000323066600009
Public Health Literacy Defined,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,"Public health literacy is an emerging concept necessary to understand and address the broad array of factors, such as climate change, globalization, and poverty, that influence the public's health. Whereas health literacy has traditionally been operationalized as an individual-level construct, public health literacy takes into account the complex social, ecologic, and systemic forces affecting health and well-being. However, public health literacy has not yet been fully articulated. This paper addresses this gap by outlining a broad, new definition of public health literacy. This definition was developed through an inductive analytic process conducted in 2007 by a multidisciplinary research team, and two expert-panel sessions were convened to assess the consensual validity of the emergent definition. Based on this process, public health literacy is defined as the degree to which individuals and groups can obtain, process, understand, evaluate, and act on information needed to make public health decisions that benefit the community. Three dimensions of public health literacy-conceptual foundations, critical skills, and civic orientation-and related competencies are also proposed. Public health literacy is distinct from individual-level health literacy, and together, the two types of literacy form a more comprehensive model of health literacy. A five-part agenda is offered for future research and action aimed at increasing levels of public health literacy. (Am J Prev Med 2009;36(5):446-451) (c) 2009 American journal of Preventive Medicine",AM J PREV MED,MAY,2009,10.1016/j.amepre.2009.02.001,"Public, Environmental & Occupational Health; Medicine, General & Internal",435AI,WOS:000265315200012
Fear Appeals and College Students' Attitudes and Behavioral Intentions Toward Global Warming,JOURNAL OF ENVIRONMENTAL EDUCATION,"This study used Witte's extended parallel process model to examine the relationships between the use of fear appeals and college students' attitudes and behavioral intentions toward global warming. A pretest-posttest quasi-experimental design was adopted. Three hundred forty-one college students from six communication courses at two universities were recruited for this experiment. The results show that when in a high-threat condition, both high-and low-efficacy messages resulted in positive attitudes and behavioral changes, while in a low-threat condition, low-efficacy messages led to negative changes in attitudes and behavioral intentions. This study suggests that when attempting to promote low carbon-emitting behaviors among college students, messages should contain both threat and efficacy information, but messages that contain low-threat and low-efficacy information should be avoided.",J ENVIRON EDUC,NA,2014,10.1080/00958964.2014.930399,Education & Educational Research; Environmental Studies,AO2HU,WOS:000341140900003
Study of Current Femto-Satellite Approches and Services,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,"The success of space technology evolves according to the technological progression in terms of density of CMOS integration (Complementary on - Silicon Metal) and MEMS (Micro-Electro-Mechanical System) [4]. The need of spatial services has been a significant growth due to several factors such as population increases, telecommunication applications, climate changes, earth control and observation military goals, and so on. To cover this, spatial vehicle generations, specific calculators and Femto-cell systems have been developed. More recently, Ultra - Small Satellites (USS) have been proposed and different approaches, concerning developing of these kind of spatial systems, have been presented in literature. This miniature satellite is capable to fly in the space and to provide different services such as imagery, measures and communications [4, 9, 10]. This paper deals with the study of two different USS Femto-satellite architectures that exist in literature in order to propose a future architecture that can provide an optimization of power supply consumption and ameliorate service communication quality.",INT J ADV COMPUT SC,MAY,2013,NA,"Computer Science, Theory & Methods",V4P5A,WOS:000219144500020
Dipole patterns in tropical precipitation were pervasive across landmasses throughout Marine Isotope Stage 5,COMMUNICATIONS EARTH & ENVIRONMENT,"Most of Earth's rain falls in the tropics, often in highly seasonal monsoon rains, which are thought to be coupled to the inter-hemispheric migrations of the Inter-Tropical Convergence Zone in response to the seasonal cycle of insolation. Yet characterization of tropical rainfall behaviour in the geologic past is poor. Here we combine new and existing hydroclimate records from six large-scale tropical regions with fully independent model-based rainfall reconstructions across the last interval of sustained warmth and ensuing climate cooling between 130 to 70 thousand years ago (Marine Isotope Stage 5). Our data-model approach reveals large-scale heterogeneous rainfall patterns in response to changes in climate. We note pervasive dipole-like tropical precipitation patterns, as well as different loci of precipitation throughout Marine Isotope Stage 5 than recorded in the Holocene. These rainfall patterns cannot be solely attributed to meridional shifts in the Inter-Tropical Convergence Zone. Tropical rainfall patterns varied throughout Marine Isotope Stage 5, beyond the influence of meridional shifts in the Inter-Tropical Convergence Zone, suggest analyses of tropical hydroclimate proxy records and model-based precipitation reconstructions.",COMMUN EARTH ENVIRON,MAR 19,2021,10.1038/s43247-021-00133-7,"Environmental Sciences; Geosciences, Multidisciplinary; Meteorology & Atmospheric Sciences",SY3CO,WOS:000665768900005
Communication in Crisis Situations in the Process of Immunization,COLLEGIUM ANTROPOLOGICUM,"Immunization is one of the most effective medical interventions in the prevention of the disease and represents the easiest and most cost-effective investment in health. The strategy of controlling contagious diseases that can be prevented through immunization has a long tradition in B&H. Mandatory immunizations are administered against ten diseases. Although the development of new technologies, the efforts of the pharmaceutical industry, the development of new vaccines provides better vaccines in terms of greater safety and effectiveness it should be pointed out that no vaccine is absolutely effective and safe, and it will not achieve the immune response in 100% vaccinated, also there are possible side effects and unexpected reactions that could occur. Vaccination is often a media issue because previously unnoticed local, isolated events-side effects and complications of vaccination are now accompanied by media attention as there are now numerous and fast communication channels (internet, e-mail, TV, etc.) and media evolved from being less controlled to more commercial Doubt in benefit of vaccination is growing even among health professionals who are expected to provide up-to-date, understandable information, and issue information about immunization benefits and potential risks. It is therefore important for health professionals to be well informed, to be a good source of authoritative, scientific and reasonable advice, and to speak openly about the benefits and risks of vaccination so that consumers fully understand both possible outcomes of vaccination. This takes communication skills, particularly in crisis situations connected with vaccination. Health professionals are thus faced with a changing attitude toward importance of immunization in the social climate where risk is less tolerated than ever before.",COLLEGIUM ANTROPOL,SEP,2012,NA,Anthropology,031TB,WOS:000310664100052
Communicating Climate Change to a Local but Diverse Audience: On the Positive Impact of Locality Framing,ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,"This study investigates the impact of locality framing in infographics about sea level rise as a consequence of anthropogenic climate change (ACC). Our experiment sampled solely inhabitants of Hoek van Holland (HvH), a coastal town in the Netherlands for which future sea level rise is a pertinent issue. We analyzed the participants' attitudes towards ACC mitigating behaviors, and found that an infographic with a local, HvH oriented frame had a higher positive impact on attitudinal change than an infographic with a more general, global frame. To account for demographic variation between participant samples in previous studies on locality framing, whose findings were inconsistent, we also tested if the observed effect of locality framing was moderated by gender, age, education level, income, political background, and religiosity. This was not the case. Our findings advocate for the application of local frames in ACC communication, irrespective of the target population's demographic characteristics.",ENVIRON COMMUN,FEB 17,2022,10.1080/17524032.2021.1998177,Communication; Environmental Studies,0I6CH,WOS:000722527300001
"Adaptation in Practise: Durban, South Africa",RESILIENT CITIES: CITIES AND ADAPTATION TO CLIMATE CHANGE - PROCEEDINGS OF THE GLOBAL FORUM 2010,"This paper outlines the development of the first municipal adaptation plans for climate change in Durban, South Africa. Particular attention is paid to the storm water and coastal plans developed for the water sector. Key adaptation activities in the main operational departments are highlighted as well as the key challenges and lessons learned during the development of the plans. Three factors were significant in determining the success of the project: (1) the emergence of political and technical champions, (2) the existence of high level technical expertise within the municipality and (3) broad based and appropriate communication with stakeholders.",LOCAL SUSTAIN,NA,2011,10.1007/978-94-007-0785-6_53,Environmental Sciences; Environmental Studies; Urban Studies,BVQ12,WOS:000292277300053
Towards a European identity? The news media and the case of climate change,EUROPEAN JOURNAL OF COMMUNICATION,"Much research on the discursive construction of Europe in national news media has quantitatively focused on the presence of 'EU topics'. The more frequently EU topics appear, the better the breeding-ground for a sense of European community, it is argued. This article tackles the question of a European identity from a different angle. Guided by theories on collective identity and power, and utilizing qualitative discourse analysis of the reporting on climate change in a tabloid newspaper and public service television news in Sweden, this article discerns a budding European political identity, discursively embedded and 'hidden' in the reporting as the natural order of things. When turned into common-sense knowledge, the European realm as a representative of 'Us' is accorded spontaneous legitimacy as a relevant political power in the making of meaning on climate change.",EUR J COMMUN,JUN,2010,10.1177/0267323110363652,Communication,609NY,WOS:000278664800002
Developing a CCS communication framework for Japan,GHGT-11,"The project Developing a CCS communication framework for Japan aims to test a prototype Knowledge Management System (KMS) on a pilot scale, with a view to more broadly utilizing the methodology in an international context. For this purpose, an on-line community was formed, involving CCS experts (10 to 15) from major Japanese CCS-related organizations. The Global (ITS Institute provided its digital platform to facilitate communication between members of the community. One of the toolkits, an argumentation model, is developed to support structured and effective knowledge sharing. Arguments, evidence and criticisms that were identified through on-line discussion were structured in a hierarchy to form an argumentation model that overviews the justification for the claim that CCS is an effective measure to mitigate global warming in general and its effects on Japan in particular. The argumentation model provides a useful overview of arguments relating to CCS with explanation of background knowledge, supported by linked evidence and quantitative data. In addition, through the series of online discussions conducted during tins project, a number of lessons have been learned in terms of encouraging active participation of knowledge sharing network members. (C) 2013 The Authors. Published by Elsevier Ltd. Open access under CC BY-NC-ND license.",ENRGY PROCED,NA,2013,10.1016/j.egypro.2013.06.681,"Energy & Fuels; Materials Science, Multidisciplinary",BB7FR,WOS:000345500507069
Effects of Communication Network Performance on Dynamic Pricing in Smart Power Grid,IEEE SYSTEMS JOURNAL,"In our fight against global warming and excessive carbon emission, smart power grid has emerged as a useful tool for its ability to integrate renewable energy sources with traditional energy sources in a single distribution system. Smart power grid depends on consumption scheduling and dynamic pricing to match power supply and demand, and to avoid significant fluctuation in power load. A supply demand mismatch or a large deviation in the power load may cause power outage and damage to equipments. In the literature, various dynamic pricing schemes have been proposed to manage and control power load. However, these existing works often assume perfect communication network performance, where pricing information and control messages can be transmitted to remote users without delay and without transmission error. In practice, communication channel is error prone and network delay is not negligible. In view of the situation, this paper begins by studying the effects of network delay and transmission error on achieving a desired power load through dynamic pricing. We find that these communication network impairments may impose a lower bound on price update interval, and an upper bound on price update step size. Based on the findings, we further propose a heuristics algorithm to determine the price update interval and price update step size, for a given requirement of maximum deviation in power load from a desired level. We have evaluated the proposed algorithm through random event simulations. Evaluation results confirm that, in the presence of network delay and transmission error, deviation from the desired power load can be limited for a range of number of users and price sensitivity of users.",IEEE SYST J,JUN,2014,10.1109/JSYST.2013.2260913,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Operations Research & Management Science; Telecommunications",AI8IH,WOS:000337155400021
"Visualizing changes to US federal environmental agency websites, 2016-2020",PLOS ONE,"Websites have become the primary means by which the US federal government communicates about its operations and presents information for public consumption. However, the alteration or removal of critical information from these sites is often entirely legal and done without the public's awareness. Relative to paper records, websites enable governments to shape public understanding in quick, scalable, and permissible ways. During the Trump administration, website changes indicative of climate denial prompted civil society organizations to develop tools for tracking online government information sources. We in the Environmental Data & Governance Initiative (EDGI) illustrate how five data visualization techniques can be used to document and analyze changes to government websites. We examine a large sample of websites of US federal environmental agencies and show that between 2016 and 2020: 1) the use of the term climate change decreased by an estimated 38%; 2) access to as much as 20% of the Environmental Protection Agency's website was removed; 3) changes were made more to Cabinet agencies' websites and to highly visible pages. In formulating ways to visualize and assess the alteration of websites, our study lays important groundwork for both systematically tracking changes and holding officials more accountable for their web practices. Our techniques enable researchers and watchdog groups alike to operate at the scale necessary to understand the breadth of impact an administration can have on the online face of government.",PLOS ONE,FEB 25,2021,10.1371/journal.pone.0246450,Multidisciplinary Sciences,QQ5BB,WOS:000624536800064
Discovering The Value of Electronic Gaming for Comprehending The Carbon Emissions Allowance Trading Market,2021 IEEE 15TH INTERNATIONAL CONFERENCE ON APPLICATION OF INFORMATION AND COMMUNICATION TECHNOLOGIES (AICT2021),"In recent years, the EU Emissions Trading System (EU-ETS) has introduced an economic perspective, such as market trading, to achieve greenhouse gas reduction targets established by each country and company. Gaming simulation is an educational technique used to model significant problems, such as the climate change. However, market transactions such as carbon allowance trading, require a large number of research participants. To enable the carbon emissions allowance trading market to involve even a small number of research participants, this study proposed the design of a web application to simulate the carbon emissions allowance trading market by research participants.",I C APPL INF COMM TE,NA,2021,10.1109/AICT52784.2021.9620277,"Computer Science, Information Systems; Telecommunications",BT8GH,WOS:000853096900012
Role of perception in determining adaptive capacity: communities adapting to environmental change,SUSTAINABILITY SCIENCE,"In this study, we investigate perception of likely environmental change as a factor of community adaptive capacity. A comparison of perceived change with science-based assessment of change is proposed to better understand community risk assessment and decision-making. Based on this analysis, we identify shared attitudes and perceptions of change that can be used to develop communication about environmental change in a manner that is appropriate within the context of the community. A community-level survey was conducted to sample differences in individual perception of likely environmental change as well as attitudes regarding climate change and natural resource management among residents of Alaska's Kenai Peninsula. We compare perceptions of likely environmental change to science-based assessments of change using a conceptual framework that recognizes socio-cognitive processes associated with decision-making. We evaluate the relationship of those perceptions to attitudes using quantitative methods. A binary logistic model is used to investigate the predictive relationship between perception and attitudes regarding climate change and natural resource management. A cultural consensus model is then used to determine areas of shared community perception of change and attitudes. Results of this analysis suggest that despite diverse individual perceptions of environmental change, shared community perceptions and attitudes can be identified.",SUSTAIN SCI,JAN,2017,10.1007/s11625-016-0394-0,Green & Sustainable Science & Technology; Environmental Sciences,EK0CD,WOS:000393593200001
A Computer Game Environment to Encourage Collaborative Learning,PROCEEDINGS OF THE 4TH EUROPEAN CONFERENCE ON GAMES BASED LEARNING,"Teaching a subject which involves a long process and inter-related problems can sometimes be difficult through conventional classroom activities. This is particularly difficult at the UK Key Stage 3 (13-14 years) where students are only beginning to understand the processes of reason. Often what the teacher would like to encourage is group discussion but for many reasons, young students may be reluctant to put forward ideas in a conventional classroom setting. An area where this becomes less of a problem is once they get involved in playing a game together. In addition to this certain subjects are difficult to teach because they involve complex interactions that are largely outside the general knowledge of young students. An example of this is the issue of human contributions to climate change. The subject is one of recent heated debate, much of which involves complex arguments on the relationship between the natural contribution to climate variation and those produced by human beings. In the work reported here a computer game has been developed which tries to incorporate the various processes involved in a realistic way. In principle this game can be used individually. However, it also provides the opportunity for generating group discussion and reasoning processes. The game which has been developed uses a non-player character which is controlled by the teacher. The game is played in a networked environment with a number of teams of two players each trying to provide solutions to a complex climate issue. The non player character is able to monitor the performance of the different teams and provide feedback that will be of a more realistic/less predictable nature. An empirical study and control based experiment have been done using this computer game to investigate the effectiveness of game-based learning towards tackling these issues. The initial study involved two groups of Key Stage 3 children in a Geography class. The study was undertaken in the normal teaching sequence. The children were divided into pairs during gameplay and each session lasted about one hour. The behaviour of the whole group and individual teams was monitored throughout the gameplay. Analysis of this shows that the game not only allowed the students to investigate the science but also to communicate with each other during the process. It is felt that by introducing an environment with which they were sufficiently familiar (playing a game together) the normal inhibitions to communication were removed. The control based experiment reinforced these findings.",NA,NA,2010,NA,Education & Educational Research,BBQ58,WOS:000307871500052
Modeling of crop wild relative species identifies areas globally for in situ conservation,COMMUNICATIONS BIOLOGY,"The impact of climate change is causing challenges for the agricultural production and food systems. More nutritious and climate resilient crop varieties are required, but lack of available and accessible trait diversity is limiting crop improvement. Crop wild relatives (CWR) are the wild cousins of cultivated crops and a vast resource of genetic diversity for breeding new, higher yielding, climate change tolerant crop varieties, but they are under-conserved (particularly in situ), largely unavailable and therefore underutilized. Here we apply species distribution modelling, climate change projections and geographic analyses to 1261 CWR species from 167 major crop genepools to explore key geographical areas for CWR in situ conservation worldwide. We identify 150 sites where 65.7% of the CWR species identified can be conserved for future use.",COMMUN BIOL,APR 23,2019,10.1038/s42003-019-0372-z,Biology; Multidisciplinary Sciences,HU6XQ,WOS:000465425700004
Experimental comparison of impact of auction format on carbon allowance market,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"Carbon allowances auctions are a good way to achieve the carbon allowance allocations under international agreements to address global climate change. Based on an economic experiment, this paper compares three possible carbon allowance auction formats (uniform price auction, discriminatory price auction and English clock auction) with heterogeneous bidders (coal power plants and gas power plants) from four perspectives (carbon price, auction efficiency, demand withholding and fluctuations in power supplies). Possibilities of collusion among bidders and impacts of allowance banking and penalty price on bidders' behaviors under different auction formats are also examined. The results show that (1) when there are relatively more bidders and there are no obvious communications between them, despite there being some tacit collusion, efficiency of English clock auction is greater than the other two formats; (2) when there are relatively fewer bidders and there are obvious communications between them, explicit collusions are observed under English clock auction. In this case, discriminatory price auction helps prevent collusion to some extents; (3) in the banking scenario, more speculations are observed, while penalty price exacerbates price volatility. (c) 2012 Elsevier Ltd. All rights reserved.",RENEW SUST ENERG REV,AUG,2012,10.1016/j.rser.2012.03.049,Green & Sustainable Science & Technology; Energy & Fuels,979YL,WOS:000306860700053
"How to Deal with Heat Stress at an Open-Air Event? Exploring Visitors' Vulnerability, Risk Perception, and Adaptive Behavior with a Multimethod Approach",WEATHER CLIMATE AND SOCIETY,"Heat waves are increasingly common in many countries across the globe, and also in Germany, where this study is set. Heat poses severe health risks, especially for vulnerable groups such as the elderly and children. This case study explores visitors' behavior and perceptions during six weekends in the summer of 2018 at a 6-month open-air horticultural show. Data from a face-to-face survey (n = 306) and behavioral observations ( n = 2750) were examined by using correlation analyses, ANOVA, and multiple regression analyses. Differences in weather perception, risk awareness, adaptive behavior, and activity level were observed between rainy days (maximum daily temperature, 25 degrees C), warmsummer days (25 degrees-30 degrees C), and hot days (>30 degrees C). Respondents reported a high level of heat risk awareness, butmost (90%) were unaware of actual heat warnings. During hot days, more adaptive measures were reported and observed. Older respondents reported taking the highest number of adaptive measures. We observed the highest level of adaptation in children, but they also showed the highest activity level. From our results we discuss how to facilitate individual adaptation to heat stress at open-air events by taking the heterogeneity of visitors into account. To mitigate negative health outcomes for citizens in the future, we argue for tailored risk communication aimed at vulnerable groups. SIGNIFICANCE STATEMENT: People around the world are facing higher average temperatures. While higher temperatures make open-air events a popular leisure time activity in summer, heat waves are a threat to health and life. Since there is not much research on how visitors of such events perceive different weather conditions-especially hot temperatures-we explored this in our case study in southern Germany at an open-air horticultural show in the summer of 2018. We discovered deficits both in people's awareness of current heat risk and the heat adaptation they carry out themselves. Future research should further investigate risk perception and adaptation behavior of private individuals, whereas event organizers and authorities need to continually focus on risk communication and facilitate individual adaptation of their visitors.",WEATHER CLIM SOC,OCT,2021,10.1175/WCAS-D-21-0027.1,Environmental Studies; Meteorology & Atmospheric Sciences,YR4ZP,WOS:000750001100019
Intersectoral approaches: the key to mitigating psychosocial and health consequences of disasters and systemic risks,DISASTER PREVENTION AND MANAGEMENT,"PurposeThe current pandemic and ongoing climate risks highlight the limited capacity of various systems, including health and social ones, to respond to population-scale and long-term threats. Practices to reduce the impacts on the health and well-being of populations must evolve from a reactive mode to preventive, proactive and concerted actions beginning at individual and community levels. Experiences and lessons learned from the pandemic will help to better prevent and reduce the psychosocial impacts of floods, or other hydroclimatic risks, in a climate change context.Design/methodology/approachThe present paper first describes the complexity and the challenges associated with climate change and systemic risks. It also presents some systemic frameworks of mental health determinants, and provides an overview of the different types of psychosocial impacts of disasters. Through various Quebec case studies and using lessons learned from past and recent flood-related events, recommendations are made on how to better integrate individual and community factors in disaster response.FindingsResults highlight the fact that people who have been affected by the events are significantly more likely to have mental health problems than those not exposed to flooding. They further demonstrate the adverse and long-term effects of floods on psychological health, notably stemming from indirect stressors at the community and institutional levels. Different strategies are proposed from individual-centered to systemic approaches, in putting forward the advantages from intersectoral and multirisk researches and interventions.Originality/valueThe establishment of an intersectoral flood network, namely the InterSectoral Flood Network of Quebec (RIISQ), is presented as an interesting avenue to foster interdisciplinary collaboration and a systemic view of flood risks. Intersectoral work is proving to be a major issue in the management of systemic risks, and should concern communities, health and mental health professionals, and the various levels of governance. As climate change is called upon to lead to more and more systemic risks, close collaboration between all the areas concerned with the management of the factors of vulnerability and exposure of populations will be necessary to respond effectively to damages and impacts (direct and indirect) linked to new meteorological and compound hazards. This means as well to better integrate the communication managers into the risk management team.",DISASTER PREV MANAG,2022 DEC 15,2022,10.1108/DPM-09-2022-0190,"Environmental Studies; Public, Environmental & Occupational Health; Management",6Z6XS,WOS:000897917700001
Informing about the invisible: communicating en route air pollution and noise exposure to cyclists and pedestrians using focus groups,EUROPEAN TRANSPORT RESEARCH REVIEW,"Active mobility and public transport are considered beneficial for health and wellbeing and valuable for climate change mitigation. However, cyclists and pedestrians have high air pollution and noise exposure alongside traffic, which adversely impact health and wellbeing. The measured exposure can differ from the perceived exposure, hence, communicating en route exposure is crucial. Therefore, this study investigates how to communicate route-based exposure to cyclists and pedestrians and explores if exposure communication, e.g. via smartphones, is worthwhile for healthy and pleasant commute. It is investigated how exposure feedback influences the motivation to protect oneself and how exposure information should be designed. Three focus groups with 20 cyclists/pedestrians living in Berlin, Germany, were conducted. Based on Protection Motivation Theory and Environmental Health Literacy concept, (1) experiences and practices after recognizing exposure were discussed and (2) information needs and communication strategies were developed. The results reveal a feeling of helplessness regarding the ubiquity and uncertainty of pollution and a heightened threat appraisal. Anger, anxiety and rejection were stated. Making sense of pollution levels and protective alternatives were central. A healthy routing app, including also pleasant route factors, was desired. However, information provision was also denied. Participants argued the responsibility should not be left to the commuters and planning for exposed road users would be crucial. Information provision may not be worthwhile if planning authorities do not provide healthy alternatives. People-centered approaches for tackling air pollution and noise exposure en route should be investigated further.",EUR TRANSP RES REV,DEC,2022,10.1186/s12544-022-00571-0,Transportation; Transportation Science & Technology,6A0AC,WOS:000880324900001
Climate Science and Decision Making,GEOGRAPHY COMPASS,"This article reviews progress in understanding climate variability and change and how such understanding might better contribute to decision processes and the design of decision support tools. We emphasize the value of collaborative engagement between climate information users and scientists to continue innovation in this area. Our assessment presents opportunities for geographic perspectives and insights that can increase understanding of the physical processes causing interannual variability and improve climate model output for climate impact assessment. As decision-makers' interests expand to address adaptation, naturesociety research can also contribute significantly to understanding the diversity of climate information users, their evolving needs, and to the development of strategies for communicating risk and uncertainty.",GEOGR COMPASS,MAY,2007,10.1111/j.1749-8198.2007.00036.x,Geography,V11MB,WOS:000214281200003
A collaborative typology of boreal Indigenous landscapes,CANADIAN JOURNAL OF FOREST RESEARCH,"Climate change and natural resource extraction are transforming boreal forest landscapes, with effects on Indigenous people's relationship with the land. Collaborative management could enhance the consideration of Indigenous perspectives and limit negative outcomes of environmental change, but it remains the exception rather than the norm. We addressed barriers to involvement of Indigenous people in land management by developing a method to enhance communication and trust, while favouring bottom-up decision-making. We partnered with the Abitibiwinni and Ouje-Bougoumou First Nations (boreal Quebec, Canada) (i) to develop indicators of Indigenous landscape state, (Li) to create a typology of Indigenous hunting grounds, and (iii) to suggest guidelines for sustainable land management in Indigenous contexts. Through participatory mapping and semidirected interviews with 23 local experts, we identified factors influencing Indigenous landscape value. Using open-access data, we developed indicators to measure landscape state according to those values. We identified four types of hunting grounds with k-means clustering, based upon biophysical factors and disturbance history. Our results suggest that land management should aim to reduce differences between hunting ground states and consider the risk of rapid shifts from one state to another.",CAN J FOREST RES,SEP,2021,10.1139/cjfr-2020-0369,Forestry,UL9VK,WOS:000692990000008
Communicating Climate Change Risk to Children: A Thematic Analysis of Children's Literature,EARLY CHILDHOOD EDUCATION JOURNAL,"Children are crucial to the future of climate change leadership, and even as youth, they have the ability to make a difference in achieving climate equity. Explorations of children's climate change literature is limited, despite the push from experts to involve children in climate change education and action. A thematic analysis of picturebooks books on the topic was conducted. Data were identified from online websites and accessibility was confirmed via academic and internet search engines. Findings suggest that children's books about climate change lack informational material and overlook the human consequences of the climate crisis. Implications for environmental health communication are discussed.",EARLY CHILD EDUC J,FEB,2023,10.1007/s10643-021-01294-y,Education & Educational Research,8K1GA,WOS:000740138700001
An approach to consider the impact of co-designed science: Case study of Bayesian networks to set NRM targets,21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),"It is now often stated that the scientific community can gain greater impact from their work if they engage intended stakeholders in co-design, implementation and evaluation of projects. However, the evidence to substantiate these claims are rarely more than anecdotal and reflective comments from scientists. Previous evaluation methods for participatory work run the risk of being over simplistic, and therefore omit important impacts, or become too complex and not user-friendly. In this paper, we provide an intermediate option, combining the research of others (detailed in Table 1), to produce 5 key dimensions to consider when evaluating the impact of participatory projects. These dimensions are 1) an increase in knowledge and awareness, 2) a change in behavior or practice, 3) active dissemination of new knowledge, 4) change in policy or planning, or some level of government endorsement, and 5) physical system improvements or onground change. In addition, social learning, empowerment and new social norms are important, but due to complexity, they are not yet included in this method. Each dimension can be estimated for its breadth and depth of the impact by more detailed criteria (e.g. how many people have increased their knowledge? And how much more do they know (i.e. could they explain it to someone else?)). The breadth is more of a quantitative assessment, which is generally easier to measure, while the depth, particularly if self-assessed, is more likely to be qualitative and subject to bias. We provide a grid to plot the breadth and depth impacts, and the means to combine this impact into a single visual representation on a radar plot (Figure 1). Here multiple lines represent different people's views of the same project, but they could also show the impact of different projects, or both. We applied the approach to a case study where the Condamine catchment Natural Resource Management (NRM) Plan was updated to better account for the interactions of management and outcomes across the people, water, land and wildlife themes, allowing for external influences such as climate change. A series of Bayesian networks (Bns) were co-developed with key staff from the Condamine Alliance (CA) and the plan's advisory team through a series of workshops emails and phone calls. The final Bns were used to set quantitative targets in the catchment plan for monitoring and evaluation. The Bns also underpin website interactive tools, used for communication and engagement with the wider community. The impact assessment approach provided a useful structure to consider the impact of stakeholder engagement in science, but highlighted the difficulties in trying to measure impact retrospectively and without a large investment of resources. Ideally useful bounds to evaluate the impact of participatory science are discussed and decided upon prior to the commencement of a project, and if not, then the evaluation of its impact would require resourcing of its own.",NA,NA,2015,NA,"Computer Science, Interdisciplinary Applications; Operations Research & Management Science; Mathematics, Applied",BI2XC,WOS:000410535400281
Can Information Technology Help Rail Play a Greater Role in Preventing Climate Change?,TRANSPORTATION RESEARCH RECORD,"Increasing rail's passenger and freight transportation market share would reduce energy use and thereby reduce pollution and climate change. Unfortunately, many railroads have capacity constraints and are institutionally skeptical of introducing new products, operating strategies, and technologies that could help them better meet the needs of today's passenger and freight customers and ultimately help railways increase their market share. One solution to these problems is the clever implementation of new information technology (IT) strategies. IT can help in several ways. First, IT can help maximize the use of existing capacity. Second, IT can be used to help improve service quality by providing improved reliability and information to passengers. Finally, IT can help identify and prioritize the infrastructure investments and institutional changes needed to improve rail service. IT-based applications can help communicate the need for change to public and private decision makers. However, ultimate success will not come by simply adding IT to existing systems; rather, it will come by using IT to reinvent the railroad to provide new products and services oriented toward today's customers. The paper outlines how IT can be used to improve railway capacity and quality.",TRANSPORT RES REC,NA,2009,10.3141/2139-16,"Engineering, Civil; Transportation; Transportation Science & Technology",545XC,WOS:000273769300017
